image_id,image_name,x_world,y_world,z_world,u_floorplan,v_floorplan,is_control_point
250,frame_000250.jpg,-1.3942013925327033,0.12565085453431493,-4.1487304621292145,1405.8892700971503,3263.218751226536,0
251,frame_000251.jpg,-1.4077587868471875,0.13920572017778052,-4.208909968921362,1406.9296006303198,3283.822924231021,0
252,frame_000252.jpg,-1.4997692096072115,0.1075091511907823,-4.226404638482521,1379.0150461194596,3302.356022015197,0
253,frame_000253.jpg,-1.5221651349896361,0.1110932797671314,-4.273136984989424,1376.0204762394494,3320.0464733467916,0
254,frame_000254.jpg,-1.5432280693791085,0.11404389312208796,-4.3226890127894935,1373.7052585187105,3338.421998922421,0
255,frame_000255.jpg,-1.5670043304240562,0.11087393022794689,-4.361298908070471,1369.5417461558595,3353.7887089588835,0
256,frame_000256.jpg,-1.6008057638203468,0.10668271038245611,-4.388172014588895,1361.1161598884478,3366.9414209014867,0
257,frame_000257.jpg,-1.640919627517302,0.09810560595397087,-4.410076971562556,1350.2236141162584,3379.45160405306,0
258,frame_000258.jpg,-1.678051019694862,0.09432229472950901,-4.440056431150314,1341.009038479036,3394.042465379416,0
259,frame_000259.jpg,-1.7218469988529757,0.09142567241570022,-4.4837547516443825,1330.886538891845,3413.839394612849,0
260,frame_000260.jpg,-1.7496093419699184,0.08412236320719546,-4.5068985084086,1324.0621986512215,3424.974796481076,0
261,frame_000261.jpg,-1.7944600196696028,0.07641267601156912,-4.521069036562911,1310.9600242160645,3435.7596869605327,0
262,frame_000262.jpg,-1.8432834090842714,0.06543066262034908,-4.548983754237792,1297.8146571861464,3451.3751129110788,0
263,frame_000263.jpg,-1.8898373828867219,0.06307951163749508,-4.580612377897438,1285.7286720733423,3467.8197136310946,0
264,frame_000264.jpg,-1.9256382759747595,0.05409342005943839,-4.61108680627798,1276.9846658584852,3482.3746630829614,0
265,frame_000265.jpg,-1.9689332301375555,0.04777303711495453,-4.637203108059106,1265.4496874437782,3496.644663704405,0
266,frame_000266.jpg,-2.013044894983395,0.04015912570101354,-4.659433507666319,1253.3053796092265,3509.825218170382,0
267,frame_000267.jpg,-2.0455279560801687,0.03640659598583098,-4.688743144938298,1245.520182522364,3523.5461976641814,0
268,frame_000268.jpg,-2.0762610342775956,0.03889065827548159,-4.731046868409994,1239.458210382472,3541.0499034187433,0
269,frame_000269.jpg,-2.0953830389844805,0.03771888553061902,-4.769895834200873,1236.8072906332413,3555.827910410615,0
270,frame_000270.jpg,-2.120839850893068,0.04215287502085655,-4.8140343287033955,1232.5999624770823,3573.149457058393,0
271,frame_000271.jpg,-2.1481188301662155,0.03866784538808977,-4.857300835924043,1227.7308058945634,3590.45995564919,0
272,frame_000272.jpg,-2.165912851144845,0.04633407012509522,-4.910678590374182,1226.805209123338,3609.5569991293282,0
273,frame_000273.jpg,-2.1524777466462246,0.0619765046339013,-4.957741150720479,1235.320290654363,3622.2466605340765,0
274,frame_000274.jpg,-2.17068216599483,0.06018571546304869,-5.006728593293715,1233.870417316943,3640.039874033052,0
275,frame_000275.jpg,-2.202155967957625,0.05533971575651544,-5.062819310533813,1228.8045972117195,3661.927079555702,0
276,frame_000276.jpg,-2.2158104818079174,0.05597151691740807,-5.116019408835504,1229.1893864590302,3680.3794262236424,0
277,frame_000277.jpg,-2.2165357750479333,0.06649379697527287,-5.166897801871566,1233.508927233378,3696.2699141006524,0
278,frame_000278.jpg,-2.2180215209298453,0.06977828259964003,-5.219336933177701,1237.7244563364604,3712.7529953332423,0
